Order_Id,Order_Date,Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub_Category,Product_Id,cost_price,List_price,Quantity,Discount_Percent,total_cost
9303,2022-01-03,Second Class,Corporate,United States,Mcallen,Texas,78501,Central,Office Supplies,Art,OFF-AR-10003481,10.00,10.00,3.00,5.00,30.00
6911,2022-01-03,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Bookcases,FUR-BO-10004709,100.00,120.00,2.00,4.00,200.00
4145,2022-01-03,Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,OFF-AR-10001227,10.00,10.00,3.00,5.00,30.00
1941,2022-01-03,Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Furniture,Chairs,FUR-CH-10004287,580.00,660.00,3.00,5.00,1740.00
9226,2022-01-03,Same Day,Home Office,United States,Bryan,Texas,77803,Central,Office Supplies,Binders,OFF-BI-10004040,0.00,0.00,4.00,5.00,0.00
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220.00,240.00,3.00,4.00,660.00
3064,2022-01-03,First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,TEC-AC-10000397,100.00,100.00,3.00,2.00,300.00
2632,2022-01-04,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Furnishings,FUR-FU-10000076,40.00,40.00,2.00,2.00,80.00
9935,2022-01-04,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,OFF-AP-10003278,30.00,30.00,3.00,5.00,90.00
4528,2022-01-04,Standard Class,Home Office,United States,Rome,New York,13440,East,Furniture,Furnishings,FUR-FU-10004848,40.00,40.00,4.00,3.00,160.00
9208,2022-01-04,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Technology,Accessories,TEC-AC-10000682,40.00,40.00,3.00,3.00,120.00
4750,2022-01-04,First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,OFF-PA-10002986,30.00,30.00,5.00,4.00,150.00
6180,2022-01-04,Standard Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Storage,OFF-ST-10000563,60.00,60.00,2.00,3.00,120.00
6807,2022-01-04,Standard Class,Corporate,United States,Everett,Washington,98208,West,Office Supplies,Binders,OFF-BI-10003314,0.00,0.00,1.00,3.00,0.00
6469,2022-01-04,Standard Class,Home Office,United States,Providence,Rhode Island,2908,East,Technology,Phones,TEC-PH-10000441,520.00,630.00,5.00,3.00,2600.00
4456,2022-01-04,Standard Class,Home Office,United States,San Francisco,California,94110,West,Furniture,Chairs,FUR-CH-10002372,110.00,130.00,2.00,4.00,220.00
8916,2022-01-04,Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Binders,OFF-BI-10002852,10.00,10.00,4.00,4.00,40.00
8685,2022-01-04,Standard Class,Home Office,United States,San Diego,California,92024,West,Technology,Accessories,TEC-AC-10001445,20.00,20.00,7.00,2.00,140.00
8287,2022-01-04,Standard Class,Home Office,United States,Miami,Florida,33180,South,Office Supplies,Paper,OFF-PA-10000295,30.00,30.00,6.00,3.00,180.00
8973,2022-01-04,First Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,TEC-AC-10003023,40.00,50.00,1.00,3.00,40.00
5748,2022-01-04,Standard Class,Consumer,United States,Greenville,North Carolina,27834,South,Technology,Accessories,TEC-AC-10002473,60.00,70.00,3.00,3.00,180.00
8810,2022-01-04,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,OFF-LA-10001404,10.00,10.00,5.00,2.00,50.00
516,2022-01-04,Standard Class,Home Office,United States,Great Falls,Montana,59405,West,Technology,Copiers,TEC-CO-10003236,2430.00,3000.00,5.00,5.00,12150.00
6364,2022-01-04,Standard Class,Consumer,United States,Renton,Washington,98059,West,Technology,Machines,TEC-MA-10002073,880.00,1040.00,1.00,2.00,880.00
9680,2022-01-04,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10000046,290.00,320.00,2.00,3.00,580.00
7920,2022-01-04,Standard Class,Home Office,United States,Waterbury,Connecticut,6708,East,Office Supplies,Storage,OFF-ST-10000943,30.00,40.00,2.00,5.00,60.00
7600,2022-01-04,Standard Class,Consumer,United States,Springfield,Oregon,97477,West,Office Supplies,Paper,OFF-PA-10000246,30.00,40.00,5.00,2.00,150.00
1088,2022-01-04,Second Class,Corporate,United States,Oakland,California,94601,West,Technology,Phones,TEC-PH-10004896,60.00,70.00,3.00,2.00,180.00
4826,2022-01-05,Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Furnishings,FUR-FU-10001876,70.00,80.00,3.00,3.00,210.00
677,2022-01-05,Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Appliances,OFF-AP-10000804,0.00,0.00,3.00,4.00,0.00
3295,2022-01-05,First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,OFF-BI-10003638,30.00,30.00,8.00,2.00,240.00
3272,2022-01-05,Second Class,Corporate,United States,Visalia,California,93277,West,Technology,Accessories,TEC-AC-10003709,10.00,10.00,8.00,2.00,80.00
5443,2022-01-05,Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,TEC-AC-10003198,90.00,100.00,1.00,3.00,90.00
4644,2022-01-05,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,OFF-BI-10002003,10.00,10.00,2.00,3.00,20.00
5825,2022-01-05,Same Day,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Appliances,OFF-AP-10003971,20.00,30.00,3.00,3.00,60.00
8946,2022-01-05,Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Supplies,OFF-SU-10001574,10.00,10.00,3.00,2.00,30.00
9087,2022-01-05,Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,OFF-AP-10001564,80.00,90.00,2.00,4.00,160.00
1206,2022-01-05,First Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002660,250.00,270.00,5.00,4.00,1250.00
3528,2022-01-05,Second Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Binders,OFF-BI-10003476,50.00,50.00,8.00,4.00,400.00
1979,2022-01-05,Standard Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Art,OFF-AR-10000127,10.00,10.00,2.00,2.00,20.00
8695,2022-01-05,Second Class,Home Office,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Paper,OFF-PA-10001934,20.00,20.00,3.00,5.00,60.00
656,2022-01-06,Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,OFF-BI-10002827,0.00,0.00,2.00,5.00,0.00
5484,2022-01-06,Standard Class,Corporate,United States,San Diego,California,92105,West,Office Supplies,Storage,OFF-ST-10002301,30.00,40.00,2.00,5.00,60.00
6574,2022-01-06,Standard Class,Corporate,United States,Plainfield,New Jersey,7060,East,Office Supplies,Storage,OFF-ST-10000689,480.00,560.00,4.00,4.00,1920.00
6580,2022-01-06,Same Day,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,OFF-PA-10003001,10.00,10.00,1.00,2.00,10.00
5588,2022-01-06,First Class,Consumer,United States,Lancaster,California,93534,West,Office Supplies,Fasteners,OFF-FA-10001561,10.00,10.00,5.00,2.00,50.00
7848,2022-01-06,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10004053,20.00,20.00,2.00,5.00,40.00
8407,2022-01-06,Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,FUR-FU-10001057,40.00,40.00,2.00,2.00,80.00
3527,2022-01-06,Second Class,Home Office,United States,Jackson,Mississippi,39212,South,Technology,Phones,TEC-PH-10000148,40.00,40.00,3.00,4.00,120.00
2339,2022-01-06,Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,OFF-PA-10004530,40.00,50.00,4.00,2.00,160.00
4029,2022-01-06,First Class,Corporate,United States,Bedford,Texas,76021,Central,Office Supplies,Binders,OFF-BI-10004209,10.00,10.00,8.00,2.00,80.00
2701,2022-01-06,Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,FUR-FU-10004270,30.00,30.00,2.00,3.00,60.00
5066,2022-01-06,Standard Class,Consumer,United States,Burlington,North Carolina,27217,South,Technology,Accessories,TEC-AC-10002001,350.00,380.00,3.00,3.00,1050.00
6904,2022-01-06,Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,OFF-AP-10003278,10.00,10.00,2.00,3.00,20.00
9061,2022-01-06,First Class,Corporate,United States,San Diego,California,92024,West,Office Supplies,Binders,OFF-BI-10002854,80.00,90.00,4.00,2.00,320.00
4085,2022-01-06,First Class,Home Office,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003291,10.00,10.00,3.00,3.00,30.00
3245,2022-01-06,Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,FUR-CH-10002602,270.00,320.00,3.00,5.00,810.00
4125,2022-01-06,Standard Class,Corporate,United States,Watertown,New York,13601,East,Office Supplies,Appliances,OFF-AP-10004249,40.00,40.00,3.00,2.00,120.00
4476,2022-01-06,Same Day,Home Office,United States,Mentor,Ohio,44060,East,Furniture,Furnishings,FUR-FU-10004586,20.00,20.00,4.00,2.00,80.00
4122,2022-01-06,Same Day,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Paper,OFF-PA-10002870,40.00,40.00,6.00,3.00,240.00
2146,2022-01-07,Standard Class,Corporate,United States,York,Pennsylvania,17403,East,Furniture,Chairs,FUR-CH-10002965,390.00,420.00,3.00,4.00,1170.00
6394,2022-01-07,Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Fasteners,OFF-FA-10000621,20.00,20.00,6.00,2.00,120.00
9287,2022-01-07,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,OFF-BI-10003166,10.00,10.00,3.00,3.00,30.00
1808,2022-01-07,First Class,Corporate,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10001465,230.00,250.00,7.00,3.00,1610.00
9950,2022-01-07,Second Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Technology,Accessories,TEC-AC-10004568,70.00,80.00,3.00,3.00,210.00
6638,2022-01-07,Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,OFF-AR-10001573,10.00,10.00,3.00,5.00,30.00
688,2022-01-07,First Class,Consumer,United States,Jackson,Mississippi,39212,South,Office Supplies,Paper,OFF-PA-10000304,20.00,20.00,3.00,3.00,60.00
4471,2022-01-07,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10003535,120.00,130.00,3.00,4.00,360.00
4923,2022-01-07,Second Class,Home Office,United States,Huntsville,Alabama,35810,South,Office Supplies,Fasteners,OFF-FA-10003059,0.00,0.00,2.00,3.00,0.00
8410,2022-01-07,Standard Class,Home Office,United States,San Bernardino,California,92404,West,Office Supplies,Binders,OFF-BI-10004230,100.00,110.00,4.00,2.00,400.00
8997,2022-01-07,First Class,Consumer,United States,Dallas,Texas,75081,Central,Technology,Phones,TEC-PH-10004531,30.00,40.00,2.00,4.00,60.00
7889,2022-01-07,Standard Class,Consumer,United States,Davis,California,95616,West,Office Supplies,Paper,OFF-PA-10000019,30.00,30.00,5.00,5.00,150.00
1464,2022-01-07,First Class,Corporate,United States,Pasadena,Texas,77506,Central,Furniture,Chairs,FUR-CH-10002126,950.00,1020.00,6.00,3.00,5700.00
5909,2022-01-08,Standard Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Appliances,OFF-AP-10001303,50.00,60.00,3.00,3.00,150.00
8531,2022-01-08,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Paper,OFF-PA-10000380,30.00,30.00,4.00,5.00,120.00
6129,2022-01-08,First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002353,50.00,50.00,4.00,4.00,200.00
4719,2022-01-08,First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,OFF-PA-10004101,40.00,50.00,7.00,5.00,280.00
4221,2022-01-08,Second Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10001759,20.00,20.00,6.00,2.00,120.00
8548,2022-01-08,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10001266,40.00,40.00,3.00,5.00,120.00
6984,2022-01-08,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Phones,TEC-PH-10002365,10.00,10.00,1.00,3.00,10.00
599,2022-01-08,First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,OFF-SU-10004115,10.00,10.00,2.00,2.00,20.00
3264,2022-01-08,First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Appliances,OFF-AP-10001242,190.00,240.00,3.00,2.00,570.00
6781,2022-01-08,Second Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Binders,OFF-BI-10003350,10.00,10.00,2.00,4.00,20.00
244,2022-01-08,Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,OFF-AR-10004685,10.00,10.00,2.00,3.00,20.00
1909,2022-01-08,First Class,Corporate,United States,Los Angeles,California,90008,West,Furniture,Furnishings,FUR-FU-10004093,120.00,140.00,4.00,2.00,480.00
2255,2022-01-08,First Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Appliances,OFF-AP-10002082,40.00,40.00,2.00,4.00,80.00
305,2022-01-08,Second Class,Corporate,United States,New York City,New York,10024,East,Furniture,Furnishings,FUR-FU-10002671,20.00,30.00,2.00,2.00,40.00
4927,2022-01-09,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Tables,FUR-TA-10003008,70.00,90.00,1.00,5.00,70.00
5064,2022-01-09,Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10000723,100.00,120.00,3.00,5.00,300.00
6458,2022-01-09,Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,OFF-AR-10004165,20.00,20.00,7.00,2.00,140.00
441,2022-01-09,Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Furnishings,FUR-FU-10000246,10.00,10.00,1.00,3.00,10.00
8067,2022-01-09,First Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Binders,OFF-BI-10004318,260.00,280.00,2.00,2.00,520.00
9490,2022-01-09,Standard Class,Corporate,United States,Huntsville,Alabama,35810,South,Office Supplies,Art,OFF-AR-10000538,170.00,200.00,7.00,3.00,1190.00
9881,2022-01-09,First Class,Home Office,United States,Cleveland,Ohio,44105,East,Office Supplies,Paper,OFF-PA-10000474,70.00,90.00,3.00,3.00,210.00
3072,2022-01-09,Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,FUR-FU-10002379,100.00,120.00,3.00,5.00,300.00
4000,2022-01-09,Second Class,Corporate,United States,Port Saint Lucie,Florida,34952,South,Furniture,Bookcases,FUR-BO-10004709,200.00,230.00,5.00,5.00,1000.00
161,2022-01-10,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,10.00,10.00,1.00,4.00,10.00
2312,2022-01-10,First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,OFF-AR-10001955,20.00,20.00,1.00,5.00,20.00
6464,2022-01-10,First Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Labels,OFF-LA-10004544,60.00,70.00,5.00,2.00,300.00
9598,2022-01-10,Standard Class,Corporate,United States,San Jose,California,95123,West,Technology,Phones,TEC-PH-10000193,100.00,110.00,3.00,3.00,300.00
4511,2022-01-10,Standard Class,Corporate,United States,Springfield,Missouri,65807,Central,Furniture,Furnishings,FUR-FU-10001085,40.00,40.00,2.00,3.00,80.00
6086,2022-01-10,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Labels,OFF-LA-10000262,0.00,0.00,1.00,4.00,0.00
8189,2022-01-10,Second Class,Consumer,United States,Rockville,Maryland,20852,East,Office Supplies,Paper,OFF-PA-10001870,20.00,20.00,3.00,2.00,60.00
5941,2022-01-10,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10001465,370.00,440.00,12.00,2.00,4440.00
7930,2022-01-10,First Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Tables,FUR-TA-10004767,290.00,300.00,6.00,5.00,1740.00
5000,2022-01-10,Standard Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002764,50.00,60.00,5.00,3.00,250.00
5259,2022-01-10,First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,OFF-PA-10001745,30.00,40.00,5.00,4.00,150.00
5866,2022-01-10,Second Class,Corporate,United States,Meriden,Connecticut,6450,East,Office Supplies,Art,OFF-AR-10004165,0.00,0.00,2.00,4.00,0.00
183,2022-01-10,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10003273,470.00,500.00,4.00,5.00,1880.00
9877,2022-01-10,First Class,Home Office,United States,Cleveland,Ohio,44105,East,Office Supplies,Storage,OFF-ST-10000078,770.00,850.00,4.00,2.00,3080.00
890,2022-01-11,Standard Class,Consumer,United States,New Rochelle,New York,10801,East,Technology,Accessories,TEC-AC-10000927,130.00,150.00,5.00,3.00,650.00
6594,2022-01-11,Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,OFF-BI-10001989,20.00,30.00,2.00,3.00,40.00
4746,2022-01-11,Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,OFF-BI-10001071,110.00,130.00,2.00,4.00,220.00
2588,2022-01-11,Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,FUR-FU-10002045,20.00,20.00,1.00,5.00,20.00
6228,2022-01-11,Standard Class,Consumer,United States,Irving,Texas,75061,Central,Technology,Phones,TEC-PH-10002923,80.00,90.00,3.00,4.00,240.00
3667,2022-01-11,Standard Class,Consumer,United States,Salem,Oregon,97301,West,Technology,Phones,TEC-PH-10003095,50.00,50.00,3.00,2.00,150.00
6421,2022-01-11,Standard Class,Corporate,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Art,OFF-AR-10004269,10.00,10.00,3.00,4.00,30.00
9745,2022-01-11,Standard Class,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,Envelopes,OFF-EN-10002230,250.00,270.00,4.00,5.00,1000.00
20,2022-01-11,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170.00,210.00,3.00,3.00,510.00
7681,2022-01-11,Standard Class,Home Office,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,FUR-BO-10000362,310.00,340.00,2.00,3.00,620.00
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70.00,80.00,6.00,4.00,420.00
3446,2022-01-11,Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Storage,OFF-ST-10001505,20.00,30.00,5.00,3.00,100.00
3987,2022-01-12,Standard Class,Home Office,United States,Plainfield,New Jersey,7060,East,Office Supplies,Storage,OFF-ST-10001780,2120.00,2590.00,4.00,5.00,8480.00
7745,2022-01-12,Standard Class,Corporate,United States,Waterbury,Connecticut,6708,East,Technology,Phones,TEC-PH-10004539,490.00,570.00,3.00,4.00,1470.00
1748,2022-01-12,Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,OFF-PA-10004947,10.00,10.00,3.00,5.00,30.00
1581,2022-01-12,First Class,Consumer,United States,New York City,New York,10024,East,Furniture,Tables,FUR-TA-10002607,340.00,380.00,9.00,4.00,3060.00
4602,2022-01-12,Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Office Supplies,Fasteners,OFF-FA-10001332,10.00,10.00,4.00,2.00,40.00
5021,2022-01-12,Second Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Supplies,OFF-SU-10003505,330.00,350.00,3.00,3.00,990.00
1481,2022-01-12,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10002464,30.00,40.00,7.00,5.00,210.00
342,2022-01-12,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10003656,450.00,510.00,10.00,4.00,4500.00
1111,2022-01-12,Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10003589,60.00,70.00,5.00,2.00,300.00
